tweet,class,words,polarity,emotion
 una noche de mierda y nadie se despierta,Depressed,8,negative,anger
 la cirugía va muy bien solo en el dolor pero mejorará con el tiempo,Depressed,14,positive,sadness
 dicen que cada vida es preciosa pero a nadie le importa la mía,Depressed,13,neutral,others
 día 1 del mes aniversario de trauma y ya me quiero suicidar,Depressed,12,negative,others
 mi terapeuta básicamente me echó de nuestra sesión ayer,Depressed,9,neutral,others
 simplemente ya no veo un punto en vivo,Depressed,8,positive,others
 Llorar hasta dormirme se ha convertido en algo cotidiano,Depressed,9,negative,sadness
 será un tipo de noche para llorar tú mismo,Depressed,9,neutral,others
 mi terapeuta ni me escucha hoy,Depressed,6,neutral,others
" Sorprendentemente, tenga una muy buena sesión de terapia hoy.",Depressed,9,positive,joy
 la cirugía superior se programará para el próximo mes,Depressed,9,neutral,others
 solo quiero poder cerrar mis ojos y sentirme bien,Depressed,9,neutral,sadness
 el trastorno de estrés postraumático me patea el culo,Depressed,9,negative,others
 piensa en tu vida la peor pesadilla yo la vivo,Depressed,10,negative,others
 Estaré llorando hasta dormirme esta noche.,Depressed,6,negative,sadness
el seguro niega mi cirugía superior y estoy absolutamente devastado,Depressed,10,negative,sadness
 has visto mis ganas de vivir no las encuentro,Depressed,9,neutral,others
 no me he levantado de la cama ni vestido en 4 días,Depressed,12,neutral,others
 He sido consistentemente suicida durante una semana seguida.,Depressed,8,neutral,others
" Estaré bien por un tiempo y luego, por supuesto, todo se derrumbará.",Depressed,12,neutral,sadness
la ola se precipita en ellos se derrumbarán solo quiero follar respirar,Depressed,12,negative,others
 dolor ira daño agotamiento vacío solo quiero que todo termine,Depressed,10,negative,sadness
 gatear en la cama boca abajo,Depressed,6,neutral,others
 podría joder y matarme a mi mismo,Depressed,7,negative,others
 ¿Por qué siento que estoy molesto y todos me odian?,Depressed,10,negative,others
 a la mierda todo y todos,Depressed,6,neutral,others
 creo que necesito encontrar un nuevo terapeuta,Depressed,7,neutral,others
 nadie más que tú te follas a todos a tu alrededor,Depressed,11,negative,others
 la terapia se cancela dos veces esta semana fóllame bien,Depressed,10,neutral,others
 no me he acostado en la oscuridad en mucho tiempo,Depressed,10,neutral,others
 de vuelta a mi habitación fría y oscura,Depressed,8,neutral,others
 esta noche será una completa mierda aunque jajaja,Depressed,8,negative,others
 finalmente ser capaz de dejar salir mis sentimientos hoy,Depressed,9,neutral,others
 llego a estar drogado todo el tiempo para no estar deprimido,Depressed,11,negative,others
 estoy tan harto de vivir lo que hago,Depressed,8,negative,others
" no sé cuándo, pero siento que surge otro intento, espero que este tenga éxito",Depressed,14,neutral,others
 de vuelta en mi mierda suicida,Depressed,6,negative,sadness
 solo ve a volver a la cama no quiero estar despierto ni vivo,Depressed,13,neutral,others
 la depresión se ha apoderado por completo y parece que no puedo encontrar la luz hoy,Depressed,16,negative,others
 hoy tiene que ser un día del infierno,Depressed,8,neutral,others
he empujado a cada persona que tengo lejos,Depressed,8,negative,others
 no habia estado tan triste en mucho tiempo,Depressed,8,negative,sadness
 podría haber estado fuera durante años ya,Depressed,7,neutral,others
 la terapia apesta jajaja como siempre,Depressed,6,negative,others
 sea la vida incluso vale la pena vivir,Depressed,8,neutral,others
 a veces solo quiero tragarme un bote de pastillas jajaja,Depressed,10,negative,others
" nunca sé qué decir, simplemente no quiero estar aquí",Depressed,9,negative,others
 si desaparezco sé que estaré en un lugar mejor,Depressed,9,neutral,others
 solo quiero ser mía por un tiempo,Depressed,7,neutral,others
 alguien me envió accidentalmente un video de mi abusador,Depressed,9,negative,disgust
bastante seguro de que todos estaríamos mejor si yo no estuviera vivo,Depressed,12,neutral,others
 Siento que no tengo nada por lo que vivir,Depressed,9,neutral,others
" simplemente no he sido capaz de tomar un descanso, incluso en mis pesadillas, pienso en cortarme",Depressed,16,neutral,others
 la terapia sea una mierda total hoy,Depressed,7,negative,others
 tener un muy mal día no quiero estar vivo,Depressed,9,negative,others
 siento que voy a perder esta pelea,Depressed,7,negative,sadness
 desearía patearme el trasero esta noche,Depressed,6,negative,others
 nunca entenderás el infierno que siento dentro de mi cabeza,Depressed,10,negative,sadness
 solo quiero salir ya no quiero lidiar con este dolor,Depressed,10,negative,sadness
 nadie estará ahí cuando necesites a alguien,Depressed,7,neutral,others
 No quiero seguir peleando Ojalá pudiera simplemente rendirme Quiero salir,Depressed,10,negative,others
 el policía se presenta hoy para un chequeo de bienestar,Depressed,10,neutral,others
 algunos días desearía dejar de respirar,Depressed,6,neutral,others
 cansado de pelear estas batallas solo,Depressed,6,negative,others
 Odio todo sobre mi cuerpo jajaja,Depressed,6,negative,others
ansiedad tan fuerte que quiero vomitar,Depressed,6,negative,fear
" volveré al hospital el jueves y no sé, estoy ansioso por eso, solo quiero morirme",Depressed,15,negative,others
 ya no puedo joder hacer esto,Depressed,6,neutral,joy
 noches como estas solo quiero joder morir,Depressed,7,negative,others
" No sé por qué sigo intentándolo últimamente, solo siento que me muero.",Depressed,12,negative,sadness
 a la mierda todo lo de hoy lo haré,Depressed,9,neutral,others
" no sé qué ser, detenme, no hay nada por lo que vivir",Depressed,12,neutral,others
 Realmente quiero morir y odio no haberme suicidado todavía.,Depressed,9,negative,anger
 simplemente no quiero hacer esto nunca más,Depressed,7,neutral,others
 ¿recuerdas cuando te unes a twitter?,Depressed,6,neutral,others
 nunca pensé que llegaría a los 21 pero aquí soy raro,Depressed,11,negative,surprise
 debería haber tomado la jodida botella de pastillas antes,Depressed,9,negative,others
 siempre atrapado dentro de mi propia mente,Depressed,7,neutral,others
 todos estarían mejor si yo estuviera muerto,Depressed,7,neutral,others
 las cosas nunca van a mejorar,Depressed,6,negative,others
 nadie se da cuenta de que estoy tratando de mejorar,Depressed,10,negative,others
 me siento como una mierda jajaja,Depressed,6,negative,others
 Estoy cansado de esforzarme tanto para mejorar,Depressed,7,negative,anger
 no sé por qué sigo vivo,Depressed,6,neutral,others
 No sé por qué no sigo lo de anoche.,Depressed,9,neutral,others
 vuelvo al hospital mañana así que será genial,Depressed,8,positive,joy
 ¿Debo tirar mi racha limpia de 60 días?,Depressed,8,neutral,others
 todo estar bien y nada importa,Depressed,6,positive,joy
 veces siento que a los 2 amigos solteros que tengo ni les importa,Depressed,13,neutral,others
 Dormir sea mi único escape y no puedo escapar de las pesadillas.,Depressed,12,neutral,others
 tengo que despertarme de mis pesadillas de mierda,Depressed,8,negative,anger
no tengo razón para estar vivo,Depressed,6,neutral,others
 tal vez me detengas de cavar mi propia tumba de mierda,Depressed,11,neutral,others
 son literalmente las 3 am y quiero matarme a mi mismo,Depressed,11,negative,others
 Me rendiré lentamente y lo siento,Depressed,6,neutral,others
" Realmente no veo la razón de intentar o hablar o respirar, solo hago",Depressed,13,neutral,others
 simplemente no me importa no quiero llegar a 2019 literalmente no quiero estar aquí,Depressed,14,neutral,joy
 no planeo llegar a navidad hace 3 años debería estar muerto,Depressed,11,negative,others
 probablemente el no me quiera y no lo culpo yo tampoco me querría,Depressed,13,neutral,others
 y luego mis pensamientos entran en acción y no sé por qué sigo vivo,Depressed,14,neutral,others
 literalmente lloro en el trabajo y estoy a punto de cortarme en el baño,Depressed,14,negative,others
 a veces solo quiero tomar algunas pastillas extra y espero no despertarme,Depressed,12,neutral,others
 nada importa y a nadie le importa,Depressed,7,neutral,others
 estoy solo así no tengo a nadie,Depressed,7,neutral,others
 no sé por qué sigo aquí,Depressed,6,neutral,others
 cuánto dolor tienes que pasar antes de rendirte estar bien,Depressed,10,negative,sadness
" Lo odio aquí, no tiene sentido vivir",Depressed,7,negative,anger
 has visto mis ganas de vivir no las encuentro,Depressed,9,neutral,others
 estoy demasiado despierto para que esto sea una pesadilla,Depressed,9,negative,others
" no importa lo bien que vaya mi vida, todavía alguien se vuelve extremadamente deprimido",Depressed,14,negative,others
 en serio no tener a nadie,Depressed,6,negative,others
 las cosas simplemente no son lo mismo,Depressed,7,neutral,others
" Bueno, mi mentor estará de regreso.",Depressed,6,neutral,others
 al abuelo se le dan 27 dias de vida,Depressed,9,neutral,others
abuelo estar en el hospital no hacer bien necesita oraciones por favor,Depressed,12,neutral,others
 literalmente no puedo pedir nada con mi alergia a los mariscos,Depressed,11,neutral,others
 sentarme afuera de un restaurante llorar porque siento que arruino todas las vacaciones,Depressed,13,negative,sadness
 estoy de vacaciones pero me las arreglo para estar extremadamente deprimido,Depressed,11,negative,others
 ¿Alguna vez las cosas empiezan a mejorar?,Depressed,7,neutral,others
 a él no le importa y no sé por qué me molesto,Depressed,12,neutral,others
 no quiero estar aquí pero lo destruiría,Depressed,7,negative,others
 alguien me da una razón para no matarme a mi mismo esta noche,Depressed,13,neutral,others
" tenga un día decente, pero no me importaría ser atropellado por un automóvil",Depressed,13,neutral,others
 fusión completa a la 1 a.m.,Depressed,6,neutral,others
 dormir hasta el mediodía porque soy un deprimido saco de mierda,Depressed,11,negative,anger
 otra noche de crisis de mensajes de texto,Depressed,8,negative,others
 solo quiero a mi mentor de vuelta,Depressed,7,neutral,others
 eso es todo lo que pido,Depressed,6,neutral,joy
 cumpleaños será en 4 días y solo quiero que mi mentor regrese,Depressed,12,negative,others
 quiero ser feliz pero eso probablemente nunca suceda,Depressed,8,neutral,others
 no puedo dormir o dormir demasiado,Depressed,6,neutral,others
 Alguien quiere darme una razón para seguir,Depressed,7,neutral,others
 nose por que no me he suicidado todavia,Depressed,8,neutral,others
 Soy tan inútil ¿Por qué me molesto en salir de casa?,Depressed,11,negative,others
estoy cansado cansado de estar triste cansado de estar cansado,Depressed,10,negative,anger
 a mi terapeuta no le importa,Depressed,6,neutral,others
 a mis amigos no les importa,Depressed,6,neutral,others
 dar mi contraseña e instrucciones solo en caso de que algo suceda,Depressed,12,neutral,others
 al menos 10 semanas más para mi mentor,Depressed,8,neutral,others
 no debería irme a casa de la terapia llorar,Depressed,9,neutral,others
 ir a la cama antes de que me convierta en un peligro para mí mismo,Depressed,15,negative,others
 se quedará despierto toda la noche conmigo para asegurarse de que esté bien,Depressed,13,neutral,others
 salir temprano del trabajo porque estaré demasiado deprimido para toda la vida,Depressed,12,negative,others
 así que me quedaré aquí otra noche,Depressed,7,neutral,others
la terapia va bien hoy ella llega solo 20 minutos tarde mear,Depressed,12,positive,others
 probablemente solo vaya a terminar durmiendo,Depressed,6,neutral,others
 mentalmente me siento como una mierda,Depressed,6,negative,sadness
 el tatuaje no sea ni siquiera ayuda todavía quiero morir,Depressed,10,negative,others
 También me corté hace casi 2 semanas y la cicatriz no desaparece y me odio.,Depressed,15,negative,anger
 pero ahora no quiero estar aquí,Depressed,6,neutral,joy
" Sé que estoy gordo, por favor, detén la estrella en mi estómago.",Depressed,12,negative,others
 hacerme mi primer tatuaje y espero que cuando lo mire no querré morir tanto,Depressed,14,negative,surprise
 tienes que llevar sudaderas a la cama porque te has cortado el brazo,Depressed,13,neutral,others
 mi mentor volverá y estaré más allá de la emoción,Depressed,10,neutral,others
 tengo marca en 3 puntos diferentes,Depressed,6,neutral,others
 me mantendré estable todavía quiero morir aunque,Depressed,7,neutral,others
 también ponte en crisis esta noche,Depressed,6,neutral,joy
 estar en la lista de vigilancia,Depressed,6,neutral,others
 por lo que el comportamiento destructivo continúa,Depressed,7,negative,others
 yo también odio a esta familia,Depressed,6,negative,others
 vuélvete realmente destructivo esta noche y rompe un espejo,Depressed,9,negative,others
 en realidad tener una sesión de terapia decente hoy,Depressed,9,neutral,others
" apesta, no se siente como si no fueras lo suficientemente bueno, no importa cuánto lo intentes",Depressed,16,neutral,others
 Sé que a nadie le importa,Depressed,6,neutral,others
alguien quiere tratar de convencerme de quedarme en este mundo retorcido,Depressed,11,negative,others
 deja de mentirte a ti mismo no les importa,Depressed,9,negative,others
 tal vez sería mejor para todos si yo no estoy aquí,Depressed,11,neutral,others
" pero estaré bien, siempre lo estaré",Depressed,6,neutral,joy
 solo necesito a mi mentor de vuelta,Depressed,7,neutral,others
 una sensación tan horrible que ni siquiera puedo hacer un plan sin pensar en el suicidio,Depressed,16,negative,sadness
 que realmente apesta porque quiero una vida normal pero no me veo en el futuro,Depressed,15,neutral,others
 entonces empiezo a pensar que el suicidio es la única salida,Depressed,11,neutral,others
" Siempre estaré aquí para ti, sé la mentira más grande, vete a la mierda.",Depressed,14,negative,anger
"Al final del día, a nadie le importa, solo soy uno más de los 40 segundos.",Depressed,16,neutral,others
" Bueno, vomito una buena cantidad de sangre hoy para que sea eso.",Depressed,12,neutral,others
 y cuando te necesito no estas,Depressed,6,neutral,others
 ayuda tal vez si tengo una sobredosis no tendré que lidiar con nada,Depressed,13,neutral,others
 no como si a nadie le importara de todos modos,Depressed,10,neutral,others
 déjame mantener todo dentro de la botella porque eso es saludable,Depressed,11,neutral,others
 tal vez debería haber terminado con mi vida ya,Depressed,9,neutral,others
" Me lo merezco todo, todo es mi culpa.",Depressed,8,negative,others
 pero ya sabes lo que hago merezco todo lo que me pase alguna vez,Depressed,14,neutral,others
 no sé por qué no me he comprometido todavía,Depressed,9,neutral,others
probablemente se lo merezca aunque bien,Depressed,6,positive,others
 estos sueños me dan tanta ansiedad por irme a la cama porque sé que soñaré,Depressed,15,negative,fear
 terapia en la mañana no como si le importara de todos modos,Depressed,12,neutral,others
 pero entonces ella también moriría y no puedo hacer eso,Depressed,10,neutral,others
 mis pensamientos suicidas han sido tan fuertes que han puesto en peligro a otras personas,Depressed,15,negative,fear
" Bueno, será el cumpleaños de mi tío, su tercer cumpleaños en el cielo y me olvido.",Depressed,16,neutral,joy
 tal vez sea hora de otra visita a la crisis,Depressed,10,neutral,others
" Bueno, solo descubro que mi tía podría morir en cualquier momento.",Depressed,11,neutral,others
" Hoy tengo un día decente, pero mi cerebro me dice que no merezco ser feliz.",Depressed,15,positive,joy
" más que agradecido por ti, no podría haber llegado tan lejos sin ella",Depressed,13,positive,others
 mi mentor se irá oficialmente hoy será nuestra última sesión así que jodidamente molesto,Depressed,14,negative,others
 trata de no llorar porque se que ella no querría que lo haga,Depressed,13,neutral,sadness
 por supuesto que te rendirías conmigo,Depressed,6,neutral,others
 es lindo que realmente creas que estoy bien,Depressed,8,positive,joy
alguien más se deprime tanto que vomita ya estoy tan acostumbrado,Depressed,11,negative,sadness
 ¿Te importaría si me quitara la vida?,Depressed,7,neutral,others
 ojalá pudiera vivir una vida normal,Depressed,6,neutral,others
"bueno, mi mentor tiene una sesión más conmigo y luego se va",Depressed,12,neutral,others
 a dónde ir cuando todos se van,Depressed,7,neutral,others
 No puedo recordar la última vez que fuí genuinamente feliz.,Depressed,10,positive,joy
" envíame un mensaje de texto si me necesitas, pero cuando los necesito, ¿dónde están?",Depressed,14,neutral,others
 no sea que vayas al médico en el salto que te enfermarás y morirás,Depressed,14,negative,anger
 no se abroche el cinturón de seguridad en el salto que se estrellará,Depressed,13,neutral,others
 ser suicida ser no siempre ahorcarse o una pistola en la cabeza,Depressed,12,negative,others
 Lo mismo siento todos los días que me despierto desearía no hacerlo,Depressed,12,neutral,others
 no sé cuánto tiempo más puedo hacer esto,Depressed,8,neutral,others
 empiezo a pensar que el suicidio es la única salida,Depressed,10,neutral,others
 si el cielo no estuviera tan lejos,Depressed,7,negative,others
 haría cualquier cosa por tenerte de vuelta,Depressed,7,neutral,others
 llorar a las 2 a.m. qué más ser nuevo,Depressed,9,neutral,others
 pero al final del día a quién realmente le importa,Depressed,10,neutral,others
 mi mamá trata de quitárselo hoy porque comenzará a darse cuenta,Depressed,11,neutral,others
 Empezar a colocarme una goma elástica en la muñeca en lugar de cortarme.,Depressed,13,neutral,others
 a nadie le importa hasta que sea demasiado tarde,Depressed,9,neutral,others
 no sé que más decir aparte de que no quiero estar aquí,Depressed,12,neutral,others
 pero estoy despierto ahogado en mis propios pensamientos,Depressed,8,negative,others
 todos somos adictos a algo que quita el dolor,Depressed,9,negative,others
" se supone que debo mejorar, no empeorar",Depressed,7,neutral,others
 grasa grasa grasa grasa grasa grasa grasa grasa grasa,Depressed,9,negative,others
 ¿A dónde vas cuando el sueño no puede arreglarte?,Depressed,9,neutral,others
 como por qué no puedo joder ser normal,Depressed,8,neutral,others
 no quiero tener nada que ver con nadie,Depressed,8,neutral,others
" tan harto de la terapia, pero sé que lo necesito",Depressed,10,negative,others
 ya no puedo lidiar con las pesadillas,Depressed,7,neutral,others
 no debería ser tan infeliz a esta edad,Depressed,8,negative,others
"Me lo merezco, merezco todo lo que me pase.",Depressed,9,positive,others
 me preocupa que siempre tengas un colapso mental hasta que aprendas a manejarlo gracias,Depressed,14,negative,others
 le digo que no y lo hace de todos modos,Depressed,10,neutral,others
 no debería tener que vivir con miedo,Depressed,7,negative,fear
también sea febrero y este sea el peor mes de toda mi vida,Depressed,13,negative,others
 solo quiero que todo esto termine,Depressed,6,neutral,others
 cuando la vida es tan mala te ponen en terapia 34 veces a la semana,Depressed,15,negative,anger
 Literalmente ya no puedo hacer esto,Depressed,6,neutral,joy
 no puedo hacer esto por mucho más tiempo,Depressed,8,neutral,others
 otro día de sombrero yo mismo desearía no estar aquí,Depressed,10,neutral,others
" Me odio a mí mismo, no sé por qué sigo aquí.",Depressed,11,negative,others
 Estoy tan deprimido que ya ni siquiera sé qué hacer conmigo mismo.,Depressed,12,negative,sadness
 un día me mataré espero que sea pronto,Depressed,8,neutral,others
 el tipo que me coquetea tiene novia,Depressed,7,neutral,others
 y mi terapeuta estarán de vacaciones durante 2 semanas,Depressed,9,neutral,others
" Justo cuando crees que las cosas se ven bien, algo más se derrumba.",Depressed,13,negative,sadness
 otro día de mierda todavía me pregunto por qué sigo aquí,Depressed,11,negative,others
 despertarse o saltar de su sueño cada pocas horas porque tiene pesadillas,Depressed,12,negative,others
 cada pensamiento sea una batalla cada respiro sea una guerra y ya no creo que gane,Depressed,16,neutral,others
 tengo que ir a trabajar con un corte en el brazo que me jodan,Depressed,14,negative,others
 Nunca he querido encerrarme tanto en una habitación y cortarme.,Depressed,10,negative,others
 todos mis amigos me dejan y no tengo a nadie a quien recurrir,Depressed,13,neutral,others
 presione como follé y me he cortado el brazo hacia arriba y hacia abajo,Depressed,14,neutral,others
 Desearía tener a alguien a quien le importe,Depressed,8,neutral,others
 Realmente no sé por qué sigo aquí.,Depressed,7,neutral,others
" está bien, no seré importante de todos modos",Depressed,8,positive,joy
 mi mejor amigo consiguió un nuevo novio y solo sé que voy a ser reemplazado,Depressed,15,negative,others
 sobrevivir otro año feliz cumpleaños número 18 para mí,Depressed,9,positive,joy
 quiero volver a dormir para siempre,Depressed,6,neutral,joy
 clave alta no quiero estar aquí,Depressed,6,neutral,joy
 siento tanta ansiedad cuando mis padres discuten,Depressed,7,negative,fear
" Ejecutar todos los escenarios posibles, aunque mi ataque de ansiedad principal sea el peor.",Depressed,14,negative,others
 Soy un pedazo de mierda sin valor,Depressed,7,negative,anger
 Me pregunto si algún día seré uno de esos 40 segundos.,Depressed,11,neutral,others
 Grita por estar ahí para mí esta noche,Depressed,8,neutral,joy
" Ok, nadie quiere hablar, solo escucharé mi música.",Depressed,8,neutral,others
 ¿Quién quiere hablar? Realmente me vendría bien alguien.,Depressed,8,neutral,others
 la gente como tú es la razón por la que tengo problemas mentales,Depressed,13,negative,anger
" Cuéntale a la gente mi problema, no pueden quedarse callados.",Depressed,10,neutral,others
ella dice que no durará para siempre estos pensamientos se irán ojalá se fueran ahora,Depressed,15,neutral,others
 cicatriz de estos pensamientos persisten en mi cabeza,Depressed,8,neutral,sadness
 si no fuera por ese idiota no sería como soy hoy,Depressed,11,neutral,others
 realmente no puedo describir mi sensación justo ahora,Depressed,8,neutral,sadness
 2 seguidores más y estaré en 500 te amo chico,Depressed,10,positive,joy
" pero no puedo dormir porque creo que solo sigue demorándome Dios mío, solo quiero llorar",Depressed,15,negative,others
" Bueno, supongo que dormiré un poco.",Depressed,6,neutral,others
 solo le enviaré un mensaje de texto por la mañana,Depressed,10,neutral,others
nunca seré lo suficientemente bueno para nadie,Depressed,7,negative,others
" él me hace feliz, pero supongo que no soy lo suficientemente bueno para él, oh bueno",Depressed,16,positive,joy
" lo haré con todos y con todo, solo quiero que me dejen en paz para siempre",Depressed,16,positive,others
 mi novio podría querer tomar un descanso,Depressed,7,neutral,others
" Extraño mucho a mi tío últimamente, muerto",Depressed,7,negative,sadness
 solo porque la cicatriz haya sanado no significa que el dolor haya,Depressed,12,negative,sadness
 por favor te ruego que solo necesito alguien con quien hablar,Depressed,11,neutral,others
 alguien por ahí escuchará mis problemas y me dará consejos esta noche,Depressed,12,neutral,others
 o simplemente alguien con quien hablar,Depressed,6,neutral,others
 ugh necesito un terapeuta o algo,Depressed,6,negative,others
 te extraño tanto que ni siquiera te das cuenta de lo mucho que duele,Depressed,14,negative,sadness
" lo siento, no he twitteado en mucho tiempo, chico, tengo mucho, continúa",Depressed,12,negative,sadness
" Si pudiera comprometerme, probablemente no sería lo suficientemente fuerte para",Depressed,10,neutral,others
 ir a iniciar la purga estoy harto de ser gordo,Depressed,10,negative,others
 solo seré así que la palabra ni siquiera puede explicar,Depressed,10,neutral,others
 en realidad voy a tratar de dejar de comer porque seré gordo,Depressed,12,negative,others
 tantos rumores circulan por la escuela sobre mí,Depressed,8,negative,others
 ¿Por qué mi vida no puede ser normal?,Depressed,8,neutral,others
 soy tan inseguro que es tan malo,Depressed,7,negative,anger
 lo primero que pienso cuando entro a la escuela odio a todos,Depressed,12,negative,others
 Pienso seriamente en terminarlo esta noche.,Depressed,6,neutral,others
 todo lo que quiero ser para ser feliz,Depressed,8,positive,joy
 no te atrevas a llamarme hermosa,Depressed,6,neutral,others
 Desearía tener a alguien a quien le importe,Depressed,8,neutral,others
 Estoy tan tentado de cortar que ni siquiera sé por qué.,Depressed,11,negative,others
mi mamá solo dime que vaya a jugar con cuchillos y me corte un poco más,Depressed,16,neutral,others
 mi mamá no me llama corte corte ella los llama rebanada,Depressed,11,neutral,others
 ¿Alguien más tiene que ponerse hielo en el brazo después de cortarse?,Depressed,12,neutral,others
 tal vez haya algo mal conmigo,Depressed,6,neutral,sadness
 desencadenar advertir que estos son de anoche,Depressed,7,neutral,others
" por favor, alguien envíeme un mensaje privado, estoy desesperado por alguien con quien hablar",Depressed,14,neutral,others
 alguien puede enviarme un dm por favor necesito hablar con alguien,Depressed,11,neutral,others
 en el fondo no lo soy,Depressed,6,neutral,others
 A veces desearía tener a alguien a quien le importe,Depressed,10,negative,others
 mi mamá se entera de mi autolesión,Depressed,7,negative,others
 Sabes mi nombre No mi historia,Depressed,6,neutral,others
 solo descubro que la última relación en la que estoy me engaña cada vez,Depressed,14,neutral,others
" Solo quiero que me encierren, lárgate de aquí",Depressed,8,negative,anger
 29 relación más larga 4 meses,Depressed,6,neutral,others
 31 mayor deseo retroceder en el tiempo a 1863 y ver la batalla de Gettysburg,Depressed,15,neutral,others
 12 perder a alguien especial sí mi tía gracia y gran desgracia,Depressed,12,negative,sadness
" 14 ríe hasta llorar no, nunca",Depressed,6,neutral,sadness
 21 galletas o galletas de pastel,Depressed,6,neutral,joy
 23 coca cola o sprite coca cola,Depressed,7,neutral,others
 34 tener un mejor amigo no estoy solo,Depressed,8,negative,others
" 39 creer en fantasmas sí, en realidad soy un cazador de fantasmas jaja",Depressed,13,neutral,others
 11 tomo pastillas sin motivo sí,Depressed,6,neutral,others
 Imagina que esta es mi vida cotidiana.,Depressed,7,neutral,others
 Estaré más roto de lo que piensas.,Depressed,7,neutral,others
 nadie me pregunta sobre mí cicatriz probablemente no les importe,Depressed,10,neutral,sadness
 es triste pero es la verdad,Depressed,6,negative,sadness
 mi depresión realmente comienza tarde en la noche,Depressed,8,negative,others
 la gente siempre dice mantente fuerte niño pero no es tan fácil,Depressed,12,neutral,others
 ya no quiero pelear esta guerra en mi cabeza,Depressed,9,negative,others
 Quiero una galleta con chispas de chocolate caliente para que se me meta encima.,Depressed,14,neutral,others
ella muere como vivió preguntándose si se cansará o morirá,Depressed,10,negative,others
 tantas cosas ser un pedazo de mierda,Depressed,7,negative,anger
 mi primera reacción a cualquier cosa es oh no,Depressed,9,neutral,others
 el martes me leerán poemas hablar de mierda poética en línea regístrese aquí,Depressed,13,neutral,others
" ah, qué es esto, oh sí, un error del que no he aprendido",Depressed,13,neutral,others
 me molestan más cosas molestas que tú,Depressed,7,negative,anger
 200 dólares esta noche en los angeles en la vida real 200 dólares,Depressed,13,neutral,others
 hola soy yo mi peor enemigo,Depressed,6,negative,others
 durante años he estado obsesionado con dudu uno de los protagonistas de dejar la sociedad,Depressed,15,negative,others
 la alimentación de leche saldrá en rústica hoy,Depressed,8,neutral,others
 a la mierda la media de la vida,Depressed,8,neutral,others
 prepárate para un gran relanzamiento de mi psique,Depressed,8,neutral,others
 se sintió bien por un segundo pero luego se fue,Depressed,10,neutral,others
 alguna vez te has sentido paranoico durante toda tu vida,Depressed,10,neutral,others
 tener las conversaciones difíciles pero conmigo mismo,Depressed,7,negative,others
 ¿Puedes decir que soy una cicatriz? ¿Me odias?,Depressed,8,neutral,others
 seré más que voluntad de ser neurótico y paranoico,Depressed,9,negative,others
 a la gente le gusta sentirse parte de algo estúpido,Depressed,10,negative,anger
 no pido ayuda porque entonces tengo que tratar con la gente,Depressed,11,neutral,others
" Es como si me odio a mí mismo, pero no puedo tener suficiente.",Depressed,13,neutral,others
" por qué, porque no tengo autoestima",Depressed,6,negative,others
 el milagro de la vida ser molesto,Depressed,7,negative,others
 una pequeña charla siempre será lo peor que me haya pasado,Depressed,11,negative,others
 me va bien excepto por todo lo que no quiero hablar porque estoy en negación,Depressed,15,neutral,others
 estar obsesionado contigo tiene ser un verdadero placer,Depressed,8,positive,joy
 mi corazón desea ser como malo para mí,Depressed,8,negative,others
 no puedo decir si esto es depresión o progreso emocional,Depressed,10,neutral,joy
 obtenemos los orígenes místicos que creemos que merecemos,Depressed,8,positive,others
 no se cómo vivir en el mundo,Depressed,7,neutral,others
" la gente siempre es así, va a estar bien cuando no tiene idea",Depressed,13,positive,others
 me encanta cuando no te conozco,Depressed,6,neutral,others
 siempre será agradable pasar un rato en el infierno,Depressed,9,positive,joy
 escucha no será mi culpa yo no me amo,Depressed,9,positive,joy
 ayuda no puedo dejar de pensar,Depressed,6,negative,others
 vamos a fingir que puedo controlar lo incontrolable,Depressed,8,neutral,others
 alimentación con leche ahora en rústica el 3 de agosto,Depressed,10,neutral,others
 no entiendo como a la gente le gusta hacer cosas,Depressed,10,positive,others
 a que te refieres con que no crees que sea raro estemos vivos,Depressed,13,neutral,others
 aquí déjame arrancarme el corazón y dártelo,Depressed,7,neutral,others
 una vez me relajo y es muy malo,Depressed,8,negative,others
" no me importa si es una sensación saludable o no saludable, simplemente no lo quiero",Depressed,15,neutral,others
 tu actuación de fingir que te importa es espectacular,Depressed,9,positive,joy
 estar despierto durante una hora para que sea hora de volver a dormir,Depressed,13,neutral,others
 soy como una esponja que no sabe absorber nada bueno,Depressed,10,neutral,others
" lo superaré, digo porque claramente nunca lo superaría",Depressed,8,neutral,surprise
 no quiero saber como me siento,Depressed,6,neutral,others
 quiero decir que nunca dejaré de pasar por un momento difícil,Depressed,11,neutral,others
 Me encanta establecer límites y luego molestarme por ellos.,Depressed,9,neutral,others
 no por supuesto no te digo mi sentir estar herido,Depressed,10,negative,sadness
 me duele la cabeza probablemente porque existo,Depressed,7,negative,sadness
 volver a la cama para siempre,Depressed,6,neutral,joy
" Sé que siento que no puedo matarte, pero siento que ellos pueden",Depressed,12,neutral,others
¿Qué pasa si nunca dejo de llorar y luego muero y todavía tengo que seguir llorando?,Depressed,16,negative,others
 llamaré a mi sentimiento para que por favor pare,Depressed,9,neutral,others
 siempre es el aniversario de alguna estupidez que tengo que hacer,Depressed,11,negative,others
 Me gusta más la etapa de negación que cualquiera que sea esta.,Depressed,12,negative,others
 ¿Por qué no me emociono con mi belleza interior?,Depressed,9,positive,joy
